user,sku,category,query,click_time,query_time
00065b1c372618e0f4de04b4e81113a232691032,1331156,pcmcat128700050041,"apple tv","2011-09-05 11:43:51.443","2011-09-05 11:43:22.266"
0007396a7aff176701eea1cf7ac71fc7ad47c9cb,3122039,pcmcat50300050014,"Delis bionic","2011-09-18 11:59:24.339","2011-09-18 11:58:43.67"
0008f55a6ea1aaf500b8d6a4631c79aa6ff46812,9225411,abcat0201011,"32g iPod touch","2011-10-19 00:04:53.132","2011-10-19 00:04:40.825"
0009901c4e06520082dd52e7634e8427717ed51a,2375201,abcat0703002,"madden 12","2011-08-29 19:32:01.97","2011-08-29 19:31:27.691"
000c62e1a07d47979fdbf7e874d28c57b9bd44bf,2204211,pcmcat144700050004,"Tron headphones","2011-10-14 03:58:38.43","2011-10-14 03:58:15.222"
00150f52878e22ebeeb22eb6fed271db04bb273b,1685061,abcat0302013,"Car stereo","2011-09-14 08:46:06.935","2011-09-14 08:44:59.348"
001c4baa1a34ff2a0a44006b4a7dbe316a168889,2970255,pcmcat247400050000,2970255,"2011-10-17 12:13:50.444","2011-10-17 12:13:44.838"
002677d2af4bad9a7bb4552c9f7a6d705ae65c66,2842056,pcmcat209000050008,"hp touch pad","2011-08-24 15:00:08.138","2011-08-24 14:58:52.192"
00286140294244d65e10ecdde7320f2f94cd6c6a,1049236,pcmcat209400050001,"Iphone 4","2011-09-10 16:02:45.028","2011-09-10 16:02:34.032"
00287a95d57386919ad214d3e8f378ed20af7b36,9836718,pcmcat144700050004,"Beats solo","2011-10-28 22:23:48.021","2011-10-28 22:23:27.713"
002933fcb2384f547ede7d8cb9b187681e10bcaa,3209231,cat02015,Xmen,"2011-09-09 15:15:41.939","2011-09-09 15:15:31.705"
002bb815979bd398dc6a62f8dbb53d54b01e2418,3247045,cat02015,"Transformers 3","2011-09-28 10:43:56.693","2011-09-28 10:43:36.104"
002cbfb981a2c81d706239aad206ad0bec916893,2769576,pcmcat209000050008,"Toshiba thrive","2011-09-11 11:06:16.126","2011-09-11 11:04:44.524"
00394ecaf3c339a3c935365f90ba2a7e25ccbf80,2842092,pcmcat209000050008,"hp pad","2011-08-21 19:29:05.119","2011-08-21 19:28:23.401"
003b8f0549a16fc34fb9652ca9713e8c28592fae,8998506,abcat0503002,router,"2011-10-25 23:19:59.167","2011-10-25 23:19:24.879"
00404151e728f16a439eaf21e3de9f5cc2d64fe4,1308088,pcmcat186100050007,"western digital","2011-10-25 21:33:34.88","2011-10-25 21:32:48.258"
0040770b722763ff7fa5f173bde6f353ab256029,1251336,abcat0715007,powerline,"2011-09-19 11:59:53.32","2011-09-19 11:57:48.764"
004dc359319c726a8c121e945ea367001557cd31,2842056,pcmcat209000050008,htc,"2011-10-01 21:13:53.953","2011-10-01 21:12:39.854"
0050374c36464f0f766b75f1499978674db2c120,8915178,pcmcat143700050032,adapters,"2011-10-25 22:50:48.809","2011-10-25 22:50:27.18"
005532c4862660a85485d25430ebd293b2bd1eeb,3247045,cat02015,Transformers,"2011-09-30 14:12:57.265","2011-09-30 14:09:46.966"
005c30df96ddf381c964f96a1f903a58482e0c1f,1161725,abcat0201011,"ipod nano","2011-10-02 00:30:31.645","2011-10-02 00:29:58.365"
00604cf7786b630e8acbfe4aaa6a4ed9d288bcb9,2925714,pcmcat247400050000,"Portable dual screen DVD player","2011-09-01 20:37:45.276","2011-09-01 20:35:00.597"
0065a525de13e7afe82aae087a489f0d30b9325c,1331156,pcmcat128700050041,Roku,"2011-10-29 22:53:31.102","2011-10-29 22:51:48.061"
006c2bbf10a28e5f19f65fd7ac9bd2e5eed1cb0b,3061302,abcat0703001,playstation,"2011-09-25 15:46:15.953","2011-09-25 15:45:04.256"
00732404863b01ed04a55d15d83cf4cb5dd0c4b9,2842092,pcmcat209000050008,"hp touchpad tablet","2011-08-24 20:42:17.33","2011-08-24 20:41:48.726"
00734f427b734031432ef8d97a4164986ca727ab,3247045,cat02015,transformers,"2011-10-22 15:15:28.9","2011-10-22 15:12:49.534"
00747b0f270de9ae5245068d425670f2ac7750c7,9836718,pcmcat144700050004,"Beats by dre","2011-10-10 00:54:56.957","2011-10-10 00:54:44.607"
0079608ff2bffb34b479defef725bb83a56d930e,1257136,pcmcat231700050017,"Smart tv","2011-09-02 19:52:24.566","2011-09-02 19:52:11.928"
007b5d03234bdd3358b1002631cf1908b9c49d0d,1534115,pcmcat247400050001,macbook,"2011-09-19 22:30:47.957","2011-09-19 22:30:30.878"
007e81d12b04eb15d239e2ada44473f51a357531,2842092,pcmcat209000050008,tablet,"2011-08-23 13:02:25.782","2011-08-23 13:01:59.239"
0086eb226b4925a5ddcf2ada0c4a018d74d1fb2c,8229044,abcat0503013,"cable modem","2011-10-29 23:01:22.688","2011-10-29 23:01:11.06"
0087606c1064b75aa7c5f4bd3819fa51b194b710,3487648,pcmcat209400050001,"iphone 4s","2011-10-22 13:12:48.364","2011-10-22 13:12:16.506"
00876a902c8f26433d3dad5b3237be52e9c46e83,9225377,abcat0201011,iPod,"2011-10-24 21:16:07.378","2011-10-24 21:14:59.581"
00888b812f317cd59e9c69e7476b0337be571e50,9492426,pcmcat143000050007,"dre beats tour","2011-09-06 22:40:02.542","2011-09-06 22:39:51.541"
00897bef46372402fd1909c250c11ecaf125bb7e,2873059,abcat0701001,"gears of war","2011-09-22 07:34:34.548","2011-09-22 07:33:59.418"
008d1018add5d3681d28119599e8be833a505ccd,2842056,pcmcat209000050008,Touchpad,"2011-08-21 08:22:37.226","2011-08-21 08:22:16.66"
009513d26b18afeefb48306af28eea6b84187b7e,2414049,pcmcat162100050040,"samsung infuse","2011-09-07 13:18:56.044","2011-09-07 13:14:24.915"
00960b6f1836fcf6108f2a434fccde9298f55abb,1049236,pcmcat209400050001,"Iphone 4","2011-09-11 16:18:54.441","2011-09-11 16:15:13.669"
0097777a98a02fb0189d5a0b99b58a6d87b43f3e,2842092,pcmcat209000050008,"Hp touchpad","2011-08-23 14:21:26.694","2011-08-23 14:18:33.978"
009a757573987532abd810e483028f556424b266,2842092,pcmcat209000050008,"Hp touchpad","2011-10-06 21:15:36.387","2011-10-06 21:15:32.497"
009adcfae3a88d32a5f8803f859d00e8e1dcc51b,2842092,pcmcat209000050008,"computer memory","2011-09-01 23:36:37.319","2011-09-01 23:36:30.223"
009eed46639b2587a8639b8442977f2936c8be34,2506119,pcmcat193100050014,Kindle,"2011-08-17 17:29:08.986","2011-08-17 17:28:06.683"
009f022da001c081c7326d5361b6b3c1df332c19,9225377,abcat0201011,"iPod touch","2011-09-10 14:05:32.925","2011-09-10 14:04:49.047"
00a229569e1ebb4e53349ffaae8cb4bf1bc89146,3122039,pcmcat209400050001,bionic,"2011-10-29 02:22:58.645","2011-10-29 02:22:49.774"
00a252c8c5f3340f776d020c502cce6069553645,3061302,abcat0703001,"playstation 3 console","2011-10-09 09:48:50.68","2011-10-09 09:45:29.294"
00a2c4519253c5da5b0c49ae14e221c445512402,2173056,abcat0703002,"arkham city collectors edition","2011-10-24 13:08:28.913","2011-10-24 13:08:07.485"
00a32f5001366b2dbe52685b7c44c687074ded72,2506119,pcmcat193100050014,piano,"2011-10-25 22:28:09.741","2011-10-25 22:27:16.728"
00a7f0af1218bda237820b14fbaa9d54ba30a6b9,9420361,pcmcat183800050007,"Laptop power adapter","2011-10-01 07:47:22.378","2011-10-01 07:46:52.893"
00b2e0c138ff529bdf34d5a674557b4b5929fe52,1232474,pcmcat144700050004,"Dr dre","2011-10-31 09:22:56.819","2011-10-31 09:21:51.643"
00b626fe28bae7dd435b577f6567954d86deb6ec,2390524,pcmcat209000050008,"HCT flyer","2011-10-28 10:27:07.142","2011-10-28 10:25:53.508"
